MUNI_ID¬MUNI_NOMBRE¬DEPA_NOMBRE¬PUNTAJE_PROMEDIO¬ERRORESTANDARPROMEDIO¬DESVIACION¬PORCENTAJE_INSUFICIENTE¬PORCENTAJE_MINIMO¬PORCENTAJE_SATISFACTORIO¬PORCENTAJE_AVANZADO¬N
52405¬Leiva¬Nariño¬295¬0,867¬53¬25¬58¬14¬3¬139
50400¬Lejanías¬Meta¬303¬0,051¬54¬19¬57¬22¬2¬135
25407¬Lenguazaque¬Cundinamarca¬310¬0¬60¬12¬58¬25¬5¬99
91001¬Leticia¬Amazonas¬269¬0,714¬50¬38¬53¬7¬1¬763
05411¬Liborina¬Antioquia¬295¬1,531¬66¬30¬46¬21¬3¬116
52411¬Linares¬Nariño¬329¬0,765¬60¬10¬50¬35¬5¬115
27413¬Lloró¬Chocó¬240¬1,48¬38¬68¬30¬3¬0¬108
23417¬Lorica¬Córdoba¬282¬0,357¬51¬31¬56¬11¬2¬1866
52418¬Los Andes¬Nariño¬314¬0,867¬53¬12¬62¬22¬4¬140
23419¬Los Córdobas¬Córdoba¬286¬0,663¬48¬25¬64¬11¬1¬241
70418¬Los Palmitos¬Sucre¬272¬0,663¬48¬35¬58¬6¬0¬325
54405¬Los Patios¬Norte De Santander¬309¬0,357¬59¬19¬54¬22¬5¬969
68418¬Los Santos¬Santander¬295¬0,867¬54¬24¬60¬13¬3¬174
54418¬Lourdes¬Norte De Santander¬315¬2,602¬73¬18¬47¬26¬8¬38
08421¬Luruaco¬Atlántico¬276¬0,714¬50¬36¬52¬10¬2¬362
73408¬Lérida¬Tolima¬285¬0,816¬58¬30¬55¬11¬4¬211
73411¬Líbano¬Tolima¬306¬0,51¬56¬18¬58¬20¬4¬491
19418¬López¬Cauca¬246¬1,327¬40¬57¬41¬2¬0¬199
15425¬Macanal¬Boyacá¬322¬1,071¬55¬10¬52¬33¬6¬52
68425¬Macaravita¬Santander¬338¬0¬68¬15¬40¬34¬11¬47
05425¬Maceo¬Antioquia¬295¬2,143¬48¬17¬67¬16¬0¬69
25426¬Macheta¬Cundinamarca¬327¬1,02¬67¬10¬53¬30¬7¬81
25430¬Madrid¬Cundinamarca¬327¬0,306¬63¬11¬53¬29¬8¬1242
13430¬Magangué¬Bolívar¬281¬0,255¬50¬31¬56¬11¬1¬1720
52427¬Magüi¬Nariño¬249¬2,092¬40¬49¬51¬0¬0¬86
13433¬Mahates¬Bolívar¬263¬0,612¬45¬44¬52¬3¬1¬407
44430¬Maicao¬La Guajira¬273¬0,357¬49¬37¬53¬9¬1¬1991
70429¬Majagual¬Sucre¬271¬0,51¬45¬37¬56¬7¬0¬514
08433¬Malambo¬Atlántico¬304¬0,357¬55¬26¬50¬15¬9¬1474
52435¬Mallama¬Nariño¬290¬0,867¬50¬23¬61¬14¬2¬99
08436¬Manatí¬Atlántico¬257¬0,612¬45¬51¬45¬4¬1¬217
20443¬Manaure¬Cesar¬307¬0,714¬56¬16¬60¬21¬4¬198
44560¬Manaure¬La Guajira¬258¬0,51¬43¬46¬49¬4¬1¬447
17001¬Manizales¬Caldas¬310¬0,204¬57¬18¬56¬22¬5¬3938
25436¬Manta¬Cundinamarca¬316¬0¬56¬15¬56¬24¬5¬41
17433¬Manzanares¬Caldas¬291¬0,459¬48¬21¬62¬15¬2¬240
85139¬Maní¬Casanare¬288¬1,582¬55¬25¬59¬14¬2¬197
50325¬Mapiripán¬Meta¬287¬1,633¬42¬22¬71¬8¬0¬51
13440¬Margarita¬Bolívar¬254¬1,173¬48¬53¬43¬3¬1¬145
05440¬Marinilla¬Antioquia¬305¬0,459¬59¬23¬50¬20¬7¬976
15442¬Maripí¬Boyacá¬329¬0,867¬53¬8¬55¬33¬4¬85
73443¬Mariquita¬Tolima¬319¬0,612¬57¬15¬53¬25¬7¬450
17442¬Marmato¬Caldas¬315¬1,378¬64¬15¬56¬23¬7¬102
17444¬Marquetalia¬Caldas¬327¬0,714¬56¬11¬52¬32¬6¬202
66440¬Marsella¬Risaralda¬285¬1,122¬52¬26¬63¬10¬1¬204
17446¬Marulanda¬Caldas¬301¬1,684¬50¬13¬66¬22¬0¬32
13442¬María la Baja¬Bolívar¬257¬0,561¬44¬51¬44¬5¬0¬671
68444¬Matanza¬Santander¬323¬1,735¬67¬13¬55¬23¬9¬82
05001¬Medellín¬Antioquia¬308¬0,102¬60¬21¬52¬21¬6¬25108
25438¬Medina¬Cundinamarca¬309¬1,02¬58¬13¬63¬21¬3¬97
27425¬Medio Atrato¬Chocó¬264¬0,918¬48¬41¬46¬13¬0¬46
27430¬Medio Baudó¬Chocó¬249¬1,173¬45¬55¬44¬0¬1¬82
27450¬Medio San Juan¬Chocó¬258¬0,561¬38¬40¬57¬3¬0¬124
73449¬Melgar¬Tolima¬304¬0,459¬53¬22¬55¬15¬8¬488
19450¬Mercaderes¬Cauca¬286¬0,918¬44¬23¬64¬12¬1¬171
50330¬Mesetas¬Meta¬311¬2,347¬67¬19¬49¬27¬5¬94
18460¬Milán¬Caquetá¬296¬1,99¬52¬21¬59¬20¬0¬85
15455¬Miraflores¬Boyacá¬334¬1,633¬61¬10¬46¬37¬7¬99
95200¬Miraflores¬Guaviare¬279¬2,245¬45¬28¬65¬7¬0¬43
19455¬Miranda¬Cauca¬308¬0,612¬56¬20¬54¬22¬4¬367
66456¬Mistrató¬Risaralda¬275¬1,786¬59¬39¬49¬9¬4¬142
97001¬Mitú¬Vaupés¬265¬0,765¬46¬43¬50¬6¬0¬265
86001¬Mocoa¬Putumayo¬316¬0,714¬57¬16¬52¬27¬5¬721
68464¬Mogotes¬Santander¬312¬1,378¬55¬13¬59¬25¬3¬150
68468¬Molagavita¬Santander¬308¬1,888¬55¬18¬58¬21¬3¬67
23464¬Momil¬Córdoba¬269¬0,408¬47¬36¬57¬7¬0¬232
13468¬Mompós¬Bolívar¬272¬0,612¬47¬35¬57¬7¬1¬692
15464¬Mongua¬Boyacá¬285¬1,888¬61¬30¬52¬17¬2¬60
15466¬Monguí¬Boyacá¬301¬0¬65¬17¬61¬17¬5¬82
15469¬Moniquirá¬Boyacá¬319¬0,357¬61¬13¬53¬29¬5¬311
05467¬Montebello¬Antioquia¬308¬1,224¬48¬13¬67¬19¬2¬54
13458¬Montecristo¬Bolívar¬256¬1,276¬38¬48¬49¬3¬0¬81
23466¬Montelíbano¬Córdoba¬293¬0,357¬53¬29¬51¬14¬6¬1245
63470¬Montenegro¬Quindio¬289¬0,663¬54¬26¬57¬17¬0¬398
85162¬Monterrey¬Casanare¬312¬0,459¬58¬16¬57¬23¬5¬230
23001¬Montería¬Córdoba¬297¬0,153¬55¬26¬54¬16¬5¬6413
13473¬Morales¬Bolívar¬283¬1,429¬43¬27¬63¬10¬0¬166
19473¬Morales¬Cauca¬286¬1,071¬51¬30¬56¬12¬3¬359
18479¬Morelia¬Caquetá¬289¬1,582¬48¬16¬72¬12¬0¬43
94888¬Morichal¬Guainía¬254¬0¬36¬67¬33¬0¬0¬3
70473¬Morroa¬Sucre¬277¬0,918¬51¬36¬53¬10¬1¬167
25473¬Mosquera¬Cundinamarca¬334¬0,255¬61¬11¬50¬28¬12¬1789
