MUNI_ID¬MUNI_NOMBRE¬DEPA_NOMBRE¬PUNTAJE_PROMEDIO¬ERRORESTANDARPROMEDIO¬DESVIACION¬PORCENTAJE_INSUFICIENTE¬PORCENTAJE_MINIMO¬PORCENTAJE_SATISFACTORIO¬PORCENTAJE_AVANZADO¬N
52405¬Leiva¬Nariño¬309¬0,459¬40¬13¬40¬30¬17¬149
50400¬Lejanías¬Meta¬307¬0,714¬48¬12¬40¬36¬12¬154
25407¬Lenguazaque¬Cundinamarca¬298¬0,51¬47¬17¬45¬32¬6¬219
91001¬Leticia¬Amazonas¬273¬0,459¬46¬37¬44¬13¬6¬1176
05411¬Liborina¬Antioquia¬301¬1,633¬55¬21¬34¬31¬13¬172
52411¬Linares¬Nariño¬304¬0,867¬40¬11¬48¬32¬9¬117
27413¬Lloró¬Chocó¬271¬1,122¬45¬38¬43¬15¬5¬291
23417¬Lorica¬Córdoba¬307¬0,408¬52¬19¬37¬27¬17¬1967
52418¬Los Andes¬Nariño¬328¬3,724¬43¬10¬26¬40¬25¬101
23419¬Los Córdobas¬Córdoba¬297¬0,918¬48¬19¬43¬29¬9¬314
70418¬Los Palmitos¬Sucre¬289¬0,51¬48¬31¬38¬19¬13¬427
54405¬Los Patios¬Norte De Santander¬314¬0,357¬52¬16¬37¬28¬20¬1191
68418¬Los Santos¬Santander¬294¬0,918¬50¬18¬47¬26¬9¬209
54418¬Lourdes¬Norte De Santander¬331¬1,429¬55¬19¬27¬23¬31¬78
08421¬Luruaco¬Atlántico¬275¬0,612¬43¬33¬47¬17¬4¬525
73408¬Lérida¬Tolima¬317¬0,459¬51¬11¬37¬33¬19¬273
73411¬Líbano¬Tolima¬311¬0,561¬50¬13¬37¬37¬14¬590
19418¬López¬Cauca¬298¬1,378¬53¬23¬42¬20¬15¬417
15425¬Macanal¬Boyacá¬313¬1,224¬58¬13¬34¬37¬15¬67
68425¬Macaravita¬Santander¬341¬0¬43¬0¬21¬49¬31¬39
05425¬Maceo¬Antioquia¬307¬1,02¬54¬17¬36¬33¬15¬163
25426¬Macheta¬Cundinamarca¬326¬1,173¬60¬19¬20¬35¬26¬100
25430¬Madrid¬Cundinamarca¬327¬0,408¬52¬10¬31¬34¬26¬1655
13430¬Magangué¬Bolívar¬286¬0,306¬47¬30¬42¬19¬9¬2529
52427¬Magüi¬Nariño¬264¬1,939¬43¬49¬35¬9¬7¬170
13433¬Mahates¬Bolívar¬281¬0,765¬45¬30¬45¬19¬6¬467
44430¬Maicao¬La Guajira¬292¬0,255¬53¬28¬41¬19¬13¬3474
70429¬Majagual¬Sucre¬297¬0,612¬48¬23¬41¬25¬11¬779
08433¬Malambo¬Atlántico¬328¬0,255¬55¬17¬27¬26¬30¬2286
52435¬Mallama¬Nariño¬324¬1,224¬48¬9¬35¬35¬21¬127
08436¬Manatí¬Atlántico¬271¬1,071¬45¬37¬44¬16¬4¬316
20443¬Manaure¬Cesar¬298¬0,561¬51¬18¬45¬27¬11¬200
44560¬Manaure¬La Guajira¬276¬0,51¬52¬38¬39¬15¬8¬2577
17001¬Manizales¬Caldas¬319¬0,204¬55¬14¬33¬32¬21¬3917
25436¬Manta¬Cundinamarca¬286¬0¬46¬24¬43¬28¬6¬54
17433¬Manzanares¬Caldas¬319¬1,378¬58¬13¬35¬32¬20¬223
85139¬Maní¬Casanare¬282¬1,173¬47¬28¬49¬16¬7¬267
50325¬Mapiripán¬Meta¬298¬1,939¬56¬20¬44¬24¬12¬118
13440¬Margarita¬Bolívar¬270¬0,867¬42¬36¬48¬13¬3¬194
05440¬Marinilla¬Antioquia¬324¬0,408¬55¬12¬32¬32¬24¬950
15442¬Maripí¬Boyacá¬325¬1,327¬53¬10¬27¬47¬16¬74
73443¬Mariquita¬Tolima¬311¬0,561¬52¬12¬41¬29¬17¬591
17442¬Marmato¬Caldas¬319¬2,194¬58¬14¬30¬35¬21¬130
17444¬Marquetalia¬Caldas¬338¬1,224¬51¬7¬29¬34¬31¬200
66440¬Marsella¬Risaralda¬306¬1,173¬57¬22¬33¬29¬17¬218
17446¬Marulanda¬Caldas¬345¬5,765¬40¬0¬18¬59¬24¬17
13442¬María la Baja¬Bolívar¬263¬0,561¬41¬42¬45¬10¬2¬914
68444¬Matanza¬Santander¬317¬0,561¬57¬11¬36¬38¬15¬113
05001¬Medellín¬Antioquia¬312¬0,102¬55¬17¬35¬29¬20¬30065
25438¬Medina¬Cundinamarca¬305¬0,918¬58¬22¬34¬27¬17¬175
27425¬Medio Atrato¬Chocó¬301¬0,663¬51¬22¬38¬25¬15¬215
27430¬Medio Baudó¬Chocó¬295¬1,684¬61¬29¬38¬20¬13¬277
27450¬Medio San Juan¬Chocó¬272¬0,663¬46¬40¬39¬13¬9¬222
