MUNI_ID¬MUNI_NOMBRE¬DEPA_NOMBRE¬PUNTAJE_PROMEDIO¬ERRORESTANDARPROMEDIO¬DESVIACION¬PORCENTAJE_INSUFICIENTE¬PORCENTAJE_MINIMO¬PORCENTAJE_SATISFACTORIO¬PORCENTAJE_AVANZADO¬N
05002¬Abejorral¬Antioquia¬322¬0,765¬61¬11¬33¬25¬31¬290
54003¬Abrego¬Norte De Santander¬319¬0,51¬59¬19¬30¬23¬29¬690
05004¬Abriaquí¬Antioquia¬307¬0¬77¬13¬39¬26¬22¬23
50006¬Acacías¬Meta¬326¬0,357¬55¬10¬31¬30¬30¬1366
27006¬Acandí¬Chocó¬277¬0,612¬48¬28¬49¬16¬7¬332
41006¬Acevedo¬Huila¬309¬0,459¬52¬13¬39¬30¬18¬715
13006¬Achí¬Bolívar¬298¬0,867¬58¬23¬39¬19¬19¬509
41013¬Agrado¬Huila¬288¬1,173¬52¬24¬44¬23¬9¬149
25001¬Agua de Dios¬Cundinamarca¬325¬0,918¬69¬10¬37¬24¬30¬166
20011¬Aguachica¬Cesar¬297¬0,357¬53¬24¬37¬22¬16¬1910
68013¬Aguada¬Santander¬297¬2,653¬57¬25¬30¬30¬15¬20
17013¬Aguadas¬Caldas¬343¬1,276¬56¬11¬18¬31¬40¬261
85010¬Aguazul¬Casanare¬312¬0,51¬55¬16¬33¬29¬22¬633
20013¬Agustín Codazzi¬Cesar¬311¬0,51¬59¬18¬33¬25¬24¬1245
41016¬Aipe¬Huila¬291¬0,867¬54¬23¬45¬17¬15¬276
18029¬Albania¬Caquetá¬310¬1,327¬59¬17¬38¬22¬22¬86
44035¬Albania¬La Guajira¬303¬0,867¬62¬25¬32¬19¬23¬512
68020¬Albania¬Santander¬298¬1,786¬48¬22¬41¬17¬20¬46
25019¬Albán¬Cundinamarca¬294¬1,582¬61¬27¬36¬24¬14¬81
52019¬Albán¬Nariño¬340¬0,918¬48¬7¬26¬27¬40¬85
76020¬Alcalá¬Valle Del Cauca¬272¬1,99¬53¬34¬44¬17¬4¬140
52022¬Aldana¬Nariño¬300¬0,969¬41¬20¬42¬21¬17¬126
05021¬Alejandría¬Antioquia¬312¬2,398¬52¬9¬43¬27¬21¬56
47030¬Algarrobo¬Magdalena¬311¬1,02¬61¬21¬28¬23¬29¬341
41020¬Algeciras¬Huila¬304¬1,071¬55¬16¬37¬29¬19¬394
19022¬Almaguer¬Cauca¬363¬0,867¬58¬3¬16¬31¬50¬225
15022¬Almeida¬Boyacá¬343¬4,643¬75¬6¬28¬28¬39¬18
73024¬Alpujarra¬Tolima¬329¬2,194¬58¬9¬32¬31¬29¬59
41026¬Altamira¬Huila¬295¬2,296¬64¬23¬36¬29¬13¬70
27025¬Alto Baudó¬Chocó¬272¬0,765¬47¬40¬36¬16¬8¬465
13030¬Altos del Rosario¬Bolívar¬260¬0,969¬42¬44¬43¬12¬1¬251
73026¬Alvarado¬Tolima¬333¬1,786¬65¬12¬24¬29¬35¬130
05030¬Amagá¬Antioquia¬305¬0,867¬55¬21¬36¬25¬19¬308
05031¬Amalfi¬Antioquia¬311¬0,969¬55¬12¬37¬33¬18¬402
73030¬Ambalema¬Tolima¬301¬2,398¬54¬19¬44¬23¬15¬80
25035¬Anapoima¬Cundinamarca¬310¬0,612¬52¬17¬35¬28¬20¬230
52036¬Ancuyá¬Nariño¬319¬1,071¬42¬10¬31¬31¬27¬67
76036¬Andalucía¬Valle Del Cauca¬289¬1,173¬55¬32¬32¬21¬15¬216
05034¬Andes¬Antioquia¬298¬0,612¬53¬17¬41¬29¬14¬666
05036¬Angelópolis¬Antioquia¬301¬0,867¬50¬16¬41¬31¬12¬100
05038¬Angostura¬Antioquia¬293¬1,378¬56¬24¬42¬18¬17¬153
25040¬Anolaima¬Cundinamarca¬327¬0,816¬62¬10¬33¬26¬32¬216
05040¬Anorí¬Antioquia¬313¬1,173¬67¬18¬34¬24¬24¬328
17042¬Anserma¬Caldas¬322¬0,765¬59¬14¬31¬24¬31¬415
76041¬Ansermanuevo¬Valle Del Cauca¬301¬1,48¬58¬19¬39¬26¬16¬198
05044¬Anza¬Antioquia¬326¬1,837¬61¬10¬31¬28¬31¬88
25394¬La Palma¬Cundinamarca¬309¬1,378¬65¬19¬34¬23¬24¬129
20621¬La Paz¬Cesar¬325¬1,02¬68¬15¬28¬24¬33¬569
68397¬La Paz¬Santander¬320¬1,939¬59¬8¬45¬26¬21¬53
25398¬La Peña¬Cundinamarca¬304¬1,735¬49¬13¬37¬32¬18¬62
05390¬La Pintada¬Antioquia¬294¬1,122¬60¬24¬39¬20¬17¬121
41396¬La Plata¬Huila¬309¬0,408¬53¬14¬37¬29¬20¬1143
54398¬La Playa¬Norte De Santander¬343¬1,582¬64¬8¬28¬23¬42¬163
19392¬La Sierra¬Cauca¬338¬0,816¬62¬9¬18¬36¬37¬141
63401¬La Tebaida¬Quindio¬289¬0,714¬51¬23¬43¬23¬11¬397
52390¬La Tola¬Nariño¬270¬1,99¬44¬35¬45¬13¬7¬149
05400¬La Unión¬Antioquia¬316¬0,918¬58¬12¬31¬35¬22¬341
52399¬La Unión¬Nariño¬327¬0,561¬52¬9¬31¬30¬29¬430
70400¬La Unión¬Sucre¬317¬1,378¬60¬15¬35¬22¬28¬257
76400¬La Unión¬Valle Del Cauca¬332¬1,122¬66¬12¬25¬30¬33¬398
15403¬La Uvita¬Boyacá¬340¬2,5¬76¬14¬20¬27¬39¬49
19397¬La Vega¬Cauca¬321¬1,02¬59¬15¬25¬27¬33¬223
25402¬La Vega¬Cundinamarca¬329¬0,969¬62¬8¬30¬31¬32¬243
15401¬La Victoria¬Boyacá¬350¬5,867¬53¬0¬22¬22¬57¬23
76403¬La Victoria¬Valle Del Cauca¬332¬0,816¬54¬6¬32¬28¬35¬142
66400¬La Virginia¬Risaralda¬297¬0,816¬56¬22¬37¬24¬16¬408
54377¬Labateca¬Norte De Santander¬326¬0¬61¬10¬30¬28¬32¬79
15377¬Labranzagrande¬Boyacá¬282¬4,184¬62¬36¬39¬14¬11¬36
68385¬Landázuri¬Santander¬304¬0,561¬58¬18¬39¬26¬17¬207
68406¬Lebrija¬Santander¬297¬0,612¬54¬22¬38¬24¬16¬670
86573¬Leguízamo¬Putumayo¬296¬0,867¬51¬20¬42¬24¬14¬525
52405¬Leiva¬Nariño¬309¬0,663¬44¬22¬28¬22¬28¬149
50400¬Lejanías¬Meta¬319¬1,071¬54¬10¬34¬29¬27¬154
25407¬Lenguazaque¬Cundinamarca¬298¬0,561¬48¬16¬45¬27¬12¬219
91001¬Leticia¬Amazonas¬269¬0,561¬47¬37¬44¬13¬7¬1176
05411¬Liborina¬Antioquia¬307¬1,786¬61¬17¬34¬30¬19¬168
52411¬Linares¬Nariño¬309¬0,969¬41¬13¬33¬36¬18¬117
27413¬Lloró¬Chocó¬263¬0,969¬43¬45¬39¬12¬5¬283
23417¬Lorica¬Córdoba¬311¬0,51¬58¬18¬34¬24¬24¬1967
52418¬Los Andes¬Nariño¬329¬3,418¬44¬16¬17¬27¬41¬101
23419¬Los Córdobas¬Córdoba¬295¬1,122¬57¬25¬39¬19¬18¬314
70418¬Los Palmitos¬Sucre¬298¬0,459¬52¬26¬36¬17¬21¬427
54405¬Los Patios¬Norte De Santander¬318¬0,357¬55¬14¬29¬30¬27¬1191
68418¬Los Santos¬Santander¬307¬0,969¬53¬16¬35¬32¬17¬209
54418¬Lourdes¬Norte De Santander¬350¬1,122¬56¬9¬26¬23¬42¬78
08421¬Luruaco¬Atlántico¬271¬0,663¬49¬35¬45¬13¬7¬525
73408¬Lérida¬Tolima¬321¬0,663¬56¬11¬33¬24¬32¬273
73411¬Líbano¬Tolima¬317¬0,612¬56¬13¬30¬32¬24¬590
19418¬López¬Cauca¬291¬1,582¬60¬32¬33¬18¬18¬417
15425¬Macanal¬Boyacá¬330¬0,918¬58¬9¬34¬25¬31¬67
68425¬Macaravita¬Santander¬363¬0¬73¬8¬13¬26¬54¬39
05425¬Maceo¬Antioquia¬309¬1,276¬57¬12¬37¬33¬18¬163
25426¬Macheta¬Cundinamarca¬339¬1,122¬72¬12¬17¬24¬47¬100
25430¬Madrid¬Cundinamarca¬326¬0,408¬53¬10¬31¬30¬30¬1655
13430¬Magangué¬Bolívar¬288¬0,357¬52¬28¬40¬18¬14¬2529
52427¬Magüi¬Nariño¬266¬2,041¬48¬41¬38¬11¬10¬166
13433¬Mahates¬Bolívar¬286¬0,816¬49¬28¬41¬21¬11¬467
44430¬Maicao¬La Guajira¬289¬0,255¬57¬29¬39¬17¬15¬3474
70429¬Majagual¬Sucre¬299¬0,663¬52¬21¬37¬23¬19¬779
08433¬Malambo¬Atlántico¬333¬0,306¬60¬16¬26¬21¬37¬2286
52435¬Mallama¬Nariño¬321¬0,867¬47¬12¬31¬30¬28¬127
