MUNI_ID¬MUNI_NOMBRE¬DEPA_NOMBRE¬PUNTAJE_PROMEDIO¬ERRORESTANDARPROMEDIO¬DESVIACION¬PORCENTAJE_INSUFICIENTE¬PORCENTAJE_MINIMO¬PORCENTAJE_SATISFACTORIO¬PORCENTAJE_AVANZADO¬N
05002¬Abejorral¬Antioquia¬313¬0,765¬56¬7¬47¬40¬5¬188
54003¬Abrego¬Norte De Santander¬300¬0,816¬50¬14¬47¬37¬3¬279
05004¬Abriaquí¬Antioquia¬330¬1,735¬50¬0¬39¬54¬7¬28
50006¬Acacías¬Meta¬319¬0,459¬57¬7¬42¬44¬6¬1081
27006¬Acandí¬Chocó¬265¬1,173¬52¬31¬53¬16¬1¬141
41006¬Acevedo¬Huila¬301¬0,714¬51¬11¬49¬39¬2¬369
13006¬Achí¬Bolívar¬272¬0,867¬47¬25¬54¬21¬0¬323
41013¬Agrado¬Huila¬296¬1,02¬57¬12¬55¬28¬6¬138
25001¬Agua de Dios¬Cundinamarca¬299¬0,408¬56¬12¬50¬35¬3¬139
20011¬Aguachica¬Cesar¬299¬0,408¬54¬14¬48¬35¬3¬1221
68013¬Aguada¬Santander¬317¬4,388¬56¬0¬47¬53¬0¬17
17013¬Aguadas¬Caldas¬319¬1,276¬57¬7¬43¬43¬7¬216
85010¬Aguazul¬Casanare¬319¬0,561¬57¬8¬39¬48¬5¬578
20013¬Agustín Codazzi¬Cesar¬290¬0,51¬56¬17¬51¬29¬3¬796
41016¬Aipe¬Huila¬281¬0,918¬58¬22¬50¬27¬2¬261
18029¬Albania¬Caquetá¬301¬1,224¬55¬13¬49¬37¬1¬76
44035¬Albania¬La Guajira¬271¬0,561¬50¬27¬53¬20¬0¬400
68020¬Albania¬Santander¬298¬1,786¬55¬19¬43¬36¬2¬42
25019¬Albán¬Cundinamarca¬323¬1,378¬48¬2¬41¬55¬2¬49
52019¬Albán¬Nariño¬300¬1,327¬50¬8¬53¬37¬3¬115
76020¬Alcalá¬Valle Del Cauca¬297¬2,296¬57¬13¬52¬33¬2¬124
52022¬Aldana¬Nariño¬303¬0,408¬50¬6¬58¬34¬2¬124
05021¬Alejandría¬Antioquia¬336¬3,01¬58¬0¬39¬50¬12¬26
