CODIGO,Lenguaje Grado 3,Lenguaje Grado 5,Lenguaje Grado 9,Lenguaje Grado 11,Matemáticas Grado 3,Matemáticas Grado 5,Matemáticas Grado 9,Matemáticas Grado 11,N 3,N 5,N 9,N 11
205030000189,,,,-1.0926757127525706,,,,-1.2853720160604756,,,,18.0
205030000243,,,,0.23520597321047235,,,,0.16602342946862428,,,,31.0
205031000191,,,,-0.9565952755133817,,,,-0.9707533127381709,,,,15.0
205034000078,,,,0.14995354308948594,,,,-0.0916306970389008,,,,20.0
205034000248,,,,-0.2839061505374786,,,,-0.38028104244573246,,,,65.0
205034000256,,,,-0.7432661690143553,,,,-0.7535828803564036,,,,105.0
205034000299,,,,-0.12578839552676238,,,,-0.11599276477403514,,,,9.0
205034000329,0.9636965392251634,-0.5382416720397547,,,0.8385289201452044,-0.5639526140943749,,,3.0,6.0,,
205034000345,,,,0.14189614877927087,,,,-0.0916306970389008,,,,20.0
205034000787,,,-0.20677090882396776,-1.4431084176730342,,,-1.331782126959581,-1.391521025477846,,,4.0,56.0
205034001317,,,,0.05326481136690522,,,,0.09004072235738553,,,,15.0
205036000083,,,,-0.16543589133893186,,,,-0.24824398962190625,,,,14.0
205038000439,,,,-1.3811783447051842,,,,-1.5937948132223756,,,,71.0
205040001027,,,,-1.719361936880408,,,,-1.4237649386567,,,,17.0
205042000281,,,,-0.6316137050013749,,,,-0.7306129307775631,,,,20.0
205042000508,,,,-1.1025545103742886,,,,-1.4255439131769125,,,,58.0
205044000017,,,,-0.7482338858071186,,,,-0.6373043796175833,,,,38.0
205045000096,,,,-0.3994840117785121,,,,-0.5972678988068895,,,,21.0
205045000134,,,,-0.05046256366115172,,,,-0.34113187349872304,,,,87.0
205045000193,,,,-0.5579857914769966,,,,-0.7818092760771113,,,,29.0
205045000363,,,,-0.6303928876816456,,,,-0.8310352723247264,,,,33.0
205045000576,,,,-0.18845701793954658,,,,-0.2607730530285467,,,,30.0
205045000801,,,,-1.3809513758513754,,,,-1.300685315779703,,,,10.0
205051000014,,,,-0.5596995782139409,,,,-0.7453082341189962,,,,107.0
205051000065,,,,-0.5670025242119144,,,,-0.49055134795787697,,,,53.0
205051000081,,,,0.035359490677538824,,,,-0.227362217277506,,,,9.0
205051000758,,,,-1.2258465353797356,,,,-1.4130553532080092,,,,64.0
205051001339,,,,-1.1093020819641253,,,,-0.9239184804800157,,,,28.0
205051001347,,,,-1.372274181978836,,,,-0.7606505571498935,,,,39.0
205051001401,,,,-1.266908256383716,,,,-1.2698445443172035,,,,26.0
205051001959,,,,-0.859906543790801,,,,-0.6078745133310305,,,,27.0
205051002238,,,,-0.7041302537933104,,,,-0.5364124479746363,,,,20.0
205051002467,,,,-1.5940246920548404,,,,-1.5657843875424284,,,,63.0
205051002696,,,,-1.0469862737521178,,,,-0.83365367638045,,,,29.0
205051002700,,,,-1.4993330922553048,,,,-1.378269131490053,,,,52.0
205055000281,,,,-1.0103112375814827,,,,-1.8394350422652417,,,,5.0
205059000072,,,,-0.6047557239673254,,,,-0.6136750056489185,,,,12.0
