COLE_COD_DANE_ESTABLECIMIENTO,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CARACTER,COLE_AREA_UBICACION,COLE_COD_MCPIO_UBICACION
105001000809,INST EDUC PERPETUO SOCORRO,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001001848,INST EDUC SOR JUANA INES DE LA CRUZ,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001002020,INST EDUC RAFAEL URIBE URIBE,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001000841,INST EDUC JESUS MARIA - EL ROSAL,FEMENINO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001002101,INSTITUCIÓN EDUCATIVA JUAN DE DIOS COCK,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001002119,I.E. MARCO FIDEL SUAREZ,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001000876,I.E. JAVIERA LONDOÑO-SEVILLA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001002305,INST EDUC MARISCAL ROBLEDO,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001006980,INST EDUC CONCEJO DE MEDELLIN,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001001121,INST EDUC JOSE ROBERTO VASQUEZ,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001003387,INST EDUC SANTA ROSA DE LIMA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001017965,INST EDUC MANUEL JOSE GOMEZ S,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001000931,INST EDUC DIEGO ECHAVARRIA MISAS,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001011070,INST EDUC MERCEDITAS GOMEZ MARTINEZ,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001003280,INST EDUC MARIA MONTESSORI,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001005525,INST EDUC ENRIQUE OLAYA HERRERA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001005878,INST EDUC FRANCISCO MIRANDA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001012700,INST EDUC SAN PABLO,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001001163,INSTITUCION EDUCATIVA LA ASUNCION,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001001155,INST EDUC SAN JUAN BAUTISTA DE LA SALLE,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001007188,INST EDUC BENEDIKTA ZUR NIEDEN,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001001198,INST EDUC AURES,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001001236,I.E. MONTECARLO GUILLERMO GAVIRIA CORREA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001007978,INST EDUC PABLO NERUDA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001001317,INST EDUC MADRE MARIA MAZARELLO,FEMENINO,OFICIAL,ACADÉMICO,URBANO,5001
105001019194,INST EDUC EL PEDREGAL,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001001368,INST EDUC ALVARO MARIN VELASCO,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001001473,INST EDUC MANUELA BELTRAN,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001001490,INST EDUC LOLA GONZALEZ,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
