MUNI_ID,Lenguaje Grado 3,Lenguaje Grado 5,Lenguaje Grado 9,Lenguaje Grado 11,Matemáticas Grado 3,Matemáticas Grado 5,Matemáticas Grado 9,Matemáticas Grado 11,N 3,N 5,N 9,N 11
5483,0.5322623439543357,0.19642484825088238,0.42670908264435053,-1.326746143601725,0.14432653044803612,0.2685757895706913,-0.04968352920191015,-1.4303898249298113,50.0,44.0,33.0,107.0
5490,-0.4752148565398811,-1.0177814728505337,-0.4367954642518398,-1.202577924986776,-0.12287155995234289,-0.7586367739989638,-1.0040285739987829,-1.1982654494277163,152.0,164.0,175.0,632.0
5495,-1.576946935061286,-1.4274414793768844,-1.3189467503607077,-0.4355362432930145,-1.7660983495896967,-1.6068262467967638,-1.1738996425059443,-0.9980271845014869,259.0,234.0,102.0,132.0
5501,3.0733507369353683,-2.563268432727205,0.7856732614027733,-0.10526103779447671,2.202718898727802,-2.3503801774318727,0.25828539565262404,-0.7117668786438861,2.0,3.0,14.0,32.0
5541,0.6354156729146908,0.9634768167472046,1.0679666683696243,-0.08227636832091134,0.13267647674821959,1.2737805922543464,1.1605546871615513,0.08608399933541944,151.0,165.0,137.0,232.0
5543,1.9646211315073248,1.292196090943497,0.37543647331078805,-0.7487572381803542,1.714278096962901,0.43367290209820997,-0.09075156130620343,-1.2614807788677487,15.0,10.0,10.0,100.0
5576,-0.8943790237368804,0.15391565906484664,-0.34228381294161686,0.37714092902459734,-1.148176717661996,-0.780905446085901,-0.5767122118056153,-0.1883941550576603,59.0,59.0,61.0,72.0
5579,-0.7001993717898926,-0.6862192708607152,-1.1704821979210303,-0.34838397667714893,-0.7496918542511017,-0.7131196704273122,-1.5521705833169155,-0.6558340611934554,512.0,504.0,425.0,453.0
5585,-0.6383757075388469,-0.36266379224752265,-0.4113632435807701,-0.29718095720780735,-0.8885309720186956,-0.45478183141856343,-0.4182293507575634,-0.7100414740606351,97.0,83.0,64.0,150.0
5591,-0.6794920716563408,0.39824338445337026,0.8456404080878819,0.8652758282133146,-0.4539813174506919,0.7084585437673833,0.8963685825929769,1.0755345000939474,48.0,53.0,28.0,103.0
5604,-0.5924783708495506,-0.7152919462101575,-0.16389777580655893,-0.6312114869941421,-0.8128001206327383,-0.9476585958246996,-0.37577684117446175,-0.964054695146118,194.0,210.0,59.0,246.0
5607,0.5199532628231197,0.43142722578875975,1.5381202456432255,1.9059643262258692,0.19943731875415793,-0.03220079553597937,1.2634130476496208,1.8451590499248105,122.0,138.0,106.0,293.0
5615,0.29835630480402997,0.8439678013978856,1.0499116610196009,1.1680807283684551,0.19630734377281825,0.4752490719099642,0.816963533735624,0.9437484928429583,719.0,747.0,636.0,1838.0
5628,-0.6338301059244267,-0.2551990349579683,-3.1075784156920636,-1.8166871026505305,-0.9322998262842811,-0.09773698943274298,-2.89668147310802,-1.8375933692153554,10.0,7.0,4.0,128.0
5631,1.3564358216954842,1.11128813171899,1.254902715299246,2.2013696493687456,0.5174466841473334,0.510187379211622,0.5380770691706693,1.7632376879215048,331.0,366.0,391.0,762.0
5642,-0.7760846914738504,-0.5495160685006113,0.03835929354450812,0.6253006520580092,-0.8888444148722003,-0.7975598014968485,-0.9234878554773045,0.32438932079214144,104.0,118.0,99.0,85.0
5647,-0.04385675322912342,-0.21598657093079426,0.45006225585225895,-0.6849971214001227,0.09412696862071492,-0.3497806903451815,0.2960977326564957,-0.9047835238907321,22.0,40.0,30.0,83.0
5649,0.11347688681306388,-0.15257561306011216,0.5530590829398221,0.4308913008777655,0.10979465765301391,-0.6013156886700021,0.3223314398381769,-0.1207063288940716,98.0,136.0,78.0,197.0
5652,,,,-0.2542943123417491,,,,0.3540625889190729,,,,44.0
5656,-0.04858232192297099,0.23327623120912655,-0.09208761095510225,-0.3536182732481852,-0.5134788896044533,-0.48340306300338687,-0.3174697632593703,-0.6718232638697733,98.0,98.0,98.0,173.0
5658,-0.3591448433183788,0.16005010979146678,0.22955575082028506,-0.3697972550215352,-0.2581229827956224,-0.07746581637598395,-0.04769267798951575,-0.7321993013402822,60.0,46.0,43.0,38.0
5659,,,,-0.8663592313527781,,,,-1.1177890851745809,,,,250.0
5660,0.6857577693574642,1.2372333427247442,0.9564562623378275,0.18062935747895847,1.2939733082993459,1.50483256883958,0.48588235032653726,-0.2425318495901101,113.0,107.0,43.0,138.0
5664,0.23056088008196562,0.10202452340242964,-0.0007941313508283697,0.0954662204321495,0.04947367285849495,-0.32722998089233946,0.11039036785521644,-0.12478423942179531,206.0,233.0,186.0,450.0
5665,-1.0946197425170248,-0.24676848529320286,-0.3270013127770062,-0.6294120782090371,-1.1498519084806909,-0.4093301051458718,-0.768766309354113,-0.677258786978861,206.0,274.0,219.0,336.0
5667,-0.33361508937995077,-0.12502745349532476,0.23883997974274904,0.009823092634853163,-0.5066186378353964,-0.2339451395063702,0.015099845385144445,-0.40758820005540797,115.0,124.0,11.0,170.0
5670,-0.16821565290027896,0.08559292513275256,0.8452052328579468,-0.31750411687282576,0.07325013069497283,0.4662593577109576,0.592093145763011,-0.6752591459055557,112.0,112.0,106.0,302.0
5674,0.2103047159320785,-0.2389436862339763,0.606599770118243,0.3945791884623213,1.0054880613190997,0.13538150071998686,0.5347461584361157,0.409892321196849,21.0,20.0,26.0,236.0
5679,0.9792566664515809,0.007167997078402168,-0.1210697936775109,0.5165591142051495,0.5593142489618793,-0.21673692045581103,-0.37286036096214786,0.1697527448460791,110.0,133.0,136.0,298.0
5686,0.2555657522820121,0.7305532442767151,0.7221503704430646,0.6296663092440019,-0.17670996009917786,0.27461973706003406,-0.3699129555926086,0.357508457771807,241.0,263.0,256.0,508.0
5690,0.4909525343312455,0.19298629551148322,1.0697281667532945,-0.5258514994875232,0.35178533414502244,0.5648102983697515,0.9600907901956589,-0.7450096736145276,40.0,38.0,38.0,225.0
5697,-0.7524623537204405,-0.6785435508953751,0.37097458211687656,0.5036780855832419,-0.8001991411173894,-0.4340503199915067,0.2584539646375172,0.05634219695285136,334.0,380.0,275.0,454.0
5736,-0.9669249656484274,-0.5424395256271519,-0.7936198856289545,-0.6664383224450687,-1.1008631379423084,-0.916467471483677,-1.3379250905314413,-1.1999821647541844,429.0,446.0,272.0,279.0
