cole_cod_dane_establecimiento,cole_nombre_establecimiento,punt_lectura_critica_mean,punt_lectura_critica_count,punt_lectura_critica_std,punt_matematicas_mean,punt_matematicas_count,punt_matematicas_std,punt_c_naturales_mean,punt_c_naturales_count,punt_c_naturales_std,punt_sociales_ciudadanas_mean,punt_sociales_ciudadanas_count,punt_sociales_ciudadanas_std,punt_ingles_mean,punt_ingles_count,punt_ingles_std,punt_global_mean,punt_global_count,punt_global_std
105001000001,INST EDUC JOSE MARIA VELAZ,54.55555555555556,36,8.261595987094035,50.02777777777778,36,10.368871301327452,52.111111111111114,36,7.898563260954587,51.0,36,10.27340533332824,47.0,36,10.348222759764804,257.75,36,40.035252323064334
105001000043,INST EDUC BARRIO SANTA CRUZ,47.55844155844156,77,8.799661336924618,43.66233766233766,77,9.398502665753101,44.8051948051948,77,8.335149038920978,45.02597402597402,77,9.170854901855957,42.57142857142857,77,7.3617585346032985,225.2987012987013,77,36.915645283703704
105001000108,INST EDUC CEFA,59.582898852971844,959,8.171642469444102,55.32429614181439,959,10.077577163294052,54.958289885297184,959,8.462759609251524,55.4473409801877,959,9.433709529664505,52.96767466110532,959,10.44660336336235,280.3420229405631,959,39.07438728404694
105001000132,INST EDUC JOSE MARIA BERNAL,60.421875,64,8.84218727429197,55.3125,64,10.422617347909897,55.859375,64,7.49574945690122,57.734375,64,8.857320866746782,56.21875,64,9.122567081624014,286.28125,64,37.357334440614686
105001000141,INST EDUC CAMILO TORRES RESTREPO,54.294117647058826,34,8.137192620512034,47.970588235294116,34,9.353285904924073,47.0,34,9.16515138991168,48.705882352941174,34,10.071048850811753,47.205882352941174,34,8.9299611854486,246.58823529411765,34,37.937842023466544
105001000167,COL LA PASTORA-EN ADMINISTRACION (AC),50.72222222222222,18,7.378869318418686,48.05555555555556,18,7.7647182610319225,47.888888888888886,18,9.646022581042764,46.22222222222222,18,10.038488025099465,47.27777777777778,18,5.889228008486997,240.77777777777777,18,38.130666299165306
105001000175,INST EDUC GABRIEL RESTREPO MORENO,50.93150684931507,73,9.101783657801619,45.64383561643836,73,11.0370208629031,47.84931506849315,73,8.461795240433307,45.863013698630134,73,10.612250610200393,43.16438356164384,73,6.978167736730627,236.2054794520548,73,39.912041800310234
105001000205,INST EDUC SAN AGUSTIN,53.01754385964912,57,9.026728619712395,52.80701754385965,57,9.710889683551931,52.05263157894737,57,9.343487137022198,51.56140350877193,57,10.053459859065665,51.08771929824562,57,10.137061954168802,261.280701754386,57,41.573838952074574
105001000256,INST EDUC HECTOR ABAD GOMEZ,53.985074626865675,134,9.758732410772703,50.28358208955224,134,13.020869275751842,50.83582089552239,134,9.770443406450797,50.58955223880597,134,11.814488802426629,49.156716417910445,134,9.897865249913375,256.25373134328356,134,48.89742010310269
105001000353,INST EDUC JUAN DE LA CRUZ POSADA,52.108695652173914,46,7.53430159225736,50.130434782608695,46,8.657966647742988,48.52173913043478,46,7.745218253677649,47.91304347826087,46,8.671347676768644,47.84782608695652,46,8.069055820586991,247.65217391304347,46,31.773656028088812
105001000396,INST EDUC JOSE ACEVEDO Y GOMEZ,51.40495867768595,121,10.603127299997151,46.36363636363637,121,11.794066304714418,46.413223140495866,121,10.260498218481406,47.413223140495866,121,11.68807755898263,46.074380165289256,121,9.33467129331665,238.79338842975207,121,49.02905896088085
105001000418,INST EDUC LA MILAGROSA,54.45192307692308,104,8.685307097199626,51.26923076923077,104,11.206127631341603,52.0,104,8.998381731534163,51.45192307692308,104,10.07532775028082,50.00961538461539,104,10.280998773123402,260.5576923076923,104,42.8818260830283
