MUNI_ID,Lenguaje Grado 3,Lenguaje Grado 5,Lenguaje Grado 9,Lenguaje Grado 11,Matemáticas Grado 3,Matemáticas Grado 5,Matemáticas Grado 9,Matemáticas Grado 11,N 3,N 5,N 9,N 11
50001,0.5379838480896861,0.6241439471577731,1.0220994282245917,1.1869496904532857,0.3774258921260897,0.6553831076020273,0.588725387529846,1.001614014705575,4999.0,5560.0,4548.0,6539.0
50006,0.6264337109692105,0.5374643035507035,0.3266013091567066,0.9782347693985295,0.458306792733323,0.3448361600736646,0.28417963043862465,0.8681723632857814,665.0,709.0,632.0,1035.0
50110,2.33,2.33,2.33,-0.8748277945524777,2.33,2.33,2.33,-0.7986281948655681,,,,78.0
50124,1.6250102613762119,0.2957051501684623,-0.8625273359709099,-0.35034509317264134,2.2382556134072917,0.015283749459043011,-0.5468557816501969,0.2442174601621194,51.0,56.0,54.0,31.0
50150,-0.8722464182183595,-0.0381697151288454,0.18348534182075332,0.09001405424564443,-0.4914602257527097,0.39724895626237766,0.17440607619939338,0.08217719468533553,121.0,115.0,140.0,172.0
50223,0.2214061711625104,0.05166555248910359,-0.260375864142422,0.2806043847404157,-0.3928610802099311,-0.013646506443315868,-0.6695446237516814,0.032719901420154136,74.0,103.0,68.0,93.0
50226,-0.017393568543581896,-0.3598099407589598,0.19954562726084574,0.7258336724170557,0.06418367784266425,-0.44965524403765306,-0.39302916791778775,0.6494938447934157,240.0,240.0,242.0,316.0
50245,0.9872794418992347,0.38928659048725195,0.6329457324096637,1.3534504639124296,1.324711951425714,0.6877342858504609,1.1921993353951175,0.3882306004897068,13.0,11.0,23.0,16.0
50251,-0.09609460082671394,-0.16719030300583634,0.23104276090031806,0.14434050589700695,0.07098131045831921,-0.9354195647418219,1.5738520461524763,0.33314184726625956,39.0,42.0,60.0,70.0
50270,2.33,2.33,2.33,-1.1912025688708654,2.33,2.33,2.33,-0.5539705460374472,,,,106.0
50287,-0.15509293395388732,-0.5404477291946769,-0.42775530994450867,-0.7559711585069305,0.03758364879918013,-0.9332742238910232,-0.9581337340371753,-0.5342068465100345,108.0,121.0,170.0,169.0
50313,-0.16843743204104947,0.28548865496443937,0.38080978504279994,0.577346533185482,-0.08258262707361615,0.44750931346078066,0.5995817777429931,0.41779099649709134,972.0,1002.0,724.0,953.0
50318,-0.7156575294289224,-0.029491200249227783,0.4651516596858522,0.7045511802989403,-0.16723842163237937,0.4024312455805391,-0.12037571261446639,0.5753516078967192,87.0,138.0,106.0,126.0
50325,-0.7339592792557652,-0.9542076238032046,-0.3766467600538562,-1.6998346824031532,-0.7467362123146762,-1.270961910930364,-0.3430571380882287,-1.6320107777892292,41.0,42.0,24.0,50.0
50330,0.3631556156920047,0.9459269613286051,-0.2872511115167965,-0.1446679349313764,1.1289912741584085,2.1035238934674365,0.5510338477297357,-0.14404753188628716,58.0,37.0,75.0,90.0
50350,-1.1425775346699438,-0.08354595007084899,-0.5992793207388247,-0.18185487387837704,-0.4073866357033831,-0.034797197733277094,-0.32737643462496774,-0.14353153193972656,64.0,63.0,49.0,107.0
50370,2.33,2.33,0.08509068165613787,-0.7767356113912603,2.33,2.33,0.05986876394600682,-0.5241608771362182,,,7.0,65.0
50400,-0.18837412772723924,-0.18334887118645724,0.2353825253831868,-0.0948105546178525,0.2560630346040987,0.24172117497860238,0.0012919968199026806,0.09612464324090311,85.0,98.0,123.0,150.0
50450,-0.5907544624702956,-0.5608890642066438,0.49576839435540226,0.025064830688983412,-0.49113655936126277,-0.5561398580053233,-0.2526145653027799,-0.39063623607869674,64.0,70.0,41.0,74.0
50568,-0.9670610371451654,-0.8526864838991591,-0.6807506746162298,-0.04069462683499523,-0.8664484880907056,-0.4612557249786438,-0.8191240716254,-0.05549322936887271,363.0,364.0,281.0,231.0
50573,-0.19200935587728432,-0.19091157701012448,0.05356216881420905,0.5222591263892086,-0.3572803981322931,0.058914052909743386,-0.3791705816905096,0.6290218806998406,353.0,368.0,268.0,408.0
50577,-0.7350561113964068,-0.5733447993719634,-0.7842779275614871,-0.5797103170703922,-1.0765339801068823,-1.1669895096941356,-1.2927623521892257,-0.909791452584002,99.0,69.0,38.0,107.0
50590,-0.9547469097277932,-1.0889133180642032,-0.7834797950384734,-0.47669536080846037,-1.1064081253477143,-1.0655891688602284,-0.8845062505587836,-0.282588739760849,119.0,143.0,88.0,81.0
50606,0.1453744754965307,-0.16800919876883563,0.20647974609835382,1.3112812052783076,0.4372332614872662,0.08863307519302559,-0.14572926860820953,1.2127361053797092,176.0,195.0,161.0,324.0
50680,-1.0073772467829263,-0.5670394512358744,-0.3051766002467856,0.10530382076141886,-0.6818202297728061,-0.6560408516471034,-0.7206631617543616,-0.38264222146256055,138.0,167.0,65.0,84.0
50683,-0.2885114900768248,0.9325048171266795,-0.5006427482368466,-0.15112136803408746,-0.12958592969959676,1.0782017726688324,-0.900458224712651,-0.12042316894826784,60.0,75.0,69.0,104.0
50686,-0.9634524210516827,0.3739633137099079,-0.4134166395684986,-0.635128850737471,-0.8770288934529896,0.06397355922935455,-0.5434974345316552,-0.6897968599825568,15.0,18.0,32.0,13.0
50689,-0.9204465350096198,-0.754035650656567,-0.09891380618460104,0.45307082985486274,-0.6950916943380604,-0.960808040740102,-0.9869946150917351,0.5893936194295067,303.0,319.0,228.0,286.0
50711,0.2380840105606516,-0.3276486428459691,0.5226983158590066,-0.635128850737471,0.2325735182343944,0.07500236730290813,0.3010121629961961,-0.516880174593522,153.0,172.0,94.0,182.0
52001,0.9722960234628063,0.8863496256532317,1.4138220256463063,1.6849507230272802,0.5069492266030398,0.48982339038338263,1.1749780317719714,1.4431026569021879,2810.0,3259.0,2881.0,4893.0
52019,1.6437080490681597,0.8020956668689521,-0.07508273589394596,0.8826772579056634,1.0704847534388378,0.7804538479614286,0.23685368025890532,1.081323341211353,58.0,75.0,109.0,107.0
52022,-0.8242049642324254,-0.26251721432595626,-0.007154312248190473,0.9921899128769508,-0.9491066522834413,-0.011486793221941904,-0.08640182962433562,1.2885065340406774,53.0,55.0,77.0,84.0
52036,0.4252421117701615,1.1383269555873823,0.461992261269749,1.2254007649796743,0.8577071751309823,0.8516355675707783,0.7520845784362066,1.5435506617630297,25.0,28.0,59.0,57.0
